Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  36.8421052631579  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  73.6842105263158  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  73.6842105263158  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  73.6842105263158  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  110.5263157894737  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  110.5263157894737  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  110.5263157894737  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  147.3684210526316  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  147.3684210526316  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  147.3684210526316  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  184.21052631578948  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  184.21052631578948  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  184.21052631578948  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  221.0526315789474  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  221.0526315789474  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  221.0526315789474  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  257.89473684210526  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  257.89473684210526  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  257.89473684210526  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  294.7368421052632  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  294.7368421052632  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  294.7368421052632  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  331.5789473684211  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  331.5789473684211  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  331.5789473684211  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  368.42105263157896  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  368.42105263157896  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  368.42105263157896  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  405.2631578947369  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  405.2631578947369  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  405.2631578947369  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  442.1052631578948  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  442.1052631578948  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  442.1052631578948  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  478.94736842105266  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  478.94736842105266  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  478.94736842105266  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  515.7894736842105  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  515.7894736842105  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  515.7894736842105  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  552.6315789473684  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  552.6315789473684  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  552.6315789473684  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  589.4736842105264  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  589.4736842105264  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  589.4736842105264  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  626.3157894736843  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  626.3157894736843  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  626.3157894736843  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  663.1578947368422  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  663.1578947368422  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  663.1578947368422  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 3  ,  700.0  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 24  ,  700.0  ,  0.7500000000000072  )
Function:  <function curly_GBWA at 0x147a28af2700>  (PXe,PAr,f)  ( 50  ,  700.0  ,  0.7500000000000072  )
